gene	sources	eqtl.source	n.eqtl.effects	requested
IKZF1	1,3,4	NA	NA	NA
IL32	NA	outlier	39	NA
IL7R	1,3,4	NA	NA	NA
INHBA	3,4	NA	NA	NA
INPP4B	3,4	NA	NA	NA
INPP5D	NA	cancer,specific	1	NA
IRF4	3,4	NA	NA	NA
IRS1	NA	NA	NA	1
IRS2	3,4	NA	NA	NA
IWS1	NA	specific	1	NA
JAK1	1,3,4	NA	NA	NA
JAK2	1,2,3,4,6	NA	NA	NA
JAK3	1,2,3,4,6	NA	NA	NA
JUN	3,4	NA	NA	NA
KANSL1	NA	outlier	4	NA
KAT6A	3,4	NA	NA	NA
KAT8	NA	outlier	38	NA
KCTD7	NA	outlier	4	NA
KDM5A	3,4	NA	NA	NA
KDR	1,2,3,4,6	NA	NA	NA
KEAP1	3,4,6,11	NA	NA	NA
KIT	1,2,3,4,6,7,11	NA	NA	NA
KLHL6	3,4	NA	NA	NA
KMT2A	3,4	NA	NA	NA
KMT2C	1,3,4	NA	NA	NA
KMT2D	1,3,4	NA	NA	NA
KRAS	1,2,3,4,6,10	NA	NA	NA
KRT83	NA	outlier,specific	1	NA
LDHAL6B	NA	outlier,specific	1	NA
LDLR	NA	NA	NA	1
LINC00211	NA	outlier	6	NA
LINC00969	NA	ubiquitous	44	NA
LMAN2L	NA	outlier	15	NA
LPA	NA	NA	NA	1
LPL	NA	NA	NA	1
LRP1B	3,4	NA	NA	NA
LRRK2	3,10	NA	NA	NA
LSMEM1	NA	outlier	38	NA
LYSMD2	NA	specific	1	NA
LZTR1	4,7	NA	NA	NA
MAEA	NA	outlier	36	NA
MANEA	NA	outlier	15	NA
MAP2K1	1,3,4,6	NA	NA	NA
MAP2K2	1,3,4,6	NA	NA	NA
MAP2K4	1,3,4,8,11	NA	NA	NA
MAP3K1	3,4,8,10	NA	NA	NA
MAPKAP1	NA	specific	1	NA
MAVS	NA	NA	NA	1
MC4R	NA	NA	NA	1
MCL1	3,4	NA	NA	NA
MDM2	3,4,6	NA	NA	NA
MDM4	3,4,6	NA	NA	NA
MED10	NA	cancer	22	NA
MEF2B	3,4	NA	NA	NA
MEN1	1,2,3,4,7	NA	NA	NA
MET	1,2,3,4,6,7	NA	NA	NA
METTL2B	NA	other	43	NA
MITF	3,4,7	NA	NA	NA
MLH1	1,2,3,4,6,7	NA	NA	NA
MPL	1,2,3,4,6	NA	NA	NA
MRE11A	2,3,4,7	NA	NA	NA
MRPS33	NA	outlier,ubiquitous	44	NA
MSH2	1,2,3,4,6,7	NA	NA	NA
MSH6	1,2,3,4,7	NA	NA	NA
MTOR	3,4,6,10	NA	NA	NA
MUTYH	2,3,4,7	NA	NA	NA
MYC	3,4,6	NA	NA	NA
MYCL	3,4,6	NA	NA	NA
MYCN	3,4,6	NA	NA	NA
MYD88	1,3,4,6	NA	NA	NA
MYEOV2	NA	specific	1	NA
NBN	2,7	NA	NA	NA
NCOR1	8,10	NA	NA	NA
NDE1	NA	outlier	30	NA
NDUFB1	NA	outlier	24	NA
NF1	1,2,3,4,6,7,8,10	NA	NA	NA
NF2	1,2,3,4,6,7	NA	NA	NA
NFE2L2	1,3,4,6,11	NA	NA	NA
NFKBIA	3,4	NA	NA	NA
NKX2-1	3,4,6	NA	NA	NA
NOTCH1	1,2,3,4,6,10	NA	NA	NA
NOTCH2	1,3,4	NA	NA	NA
NPHP3	NA	outlier	42	NA
NPM1	1,2,3,4,11	NA	NA	NA
NQO2	NA	outlier	42	NA
NRAS	1,2,3,4,6,11	NA	NA	NA
NSD1	2,4,10	NA	NA	NA
NT5C2	1,3	NA	NA	NA
NT5DC4	NA	specific	1	NA
NTRK1	3,4,6	NA	NA	NA
NTRK2	3,4,6	NA	NA	NA
NTRK3	1,3,4,6	NA	NA	NA
NUP43	NA	outlier	5	NA
NUP93	3,4	NA	NA	NA
OOEP	NA	outlier	16	NA
OR1E1	NA	outlier,specific	1	NA
PALB2	2,3,4,6,7	NA	NA	NA
PASK	NA	cancer	12	NA
PAX5	1,3,4	NA	NA	NA
PBRM1	1,3,4,10	NA	NA	NA
PCBP1	3,6,11	NA	NA	NA
PCSK9	NA	NA	NA	1
PDCD10	NA	specific	1	NA
PDCD1LG2	3,4	NA	NA	NA
PDGFRA	1,2,3,4,6,11	NA	NA	NA
PDGFRB	3,4,6	NA	NA	NA
PDIA2	NA	specific	1	NA
PDK1	3,4	NA	NA	NA
PHOX2B	1,2	NA	NA	NA
PIK3CA	1,2,3,4,6,8,10	NA	NA	NA
PIK3CG	3,4,11	NA	NA	NA
PIK3R1	1,3,4,6,8,10	NA	NA	NA
PIK3R2	3,4	NA	NA	NA
PILRA	NA	outlier	43	NA
PLCG2	3,4	NA	NA	NA
PLEKHS1	6	NA	NA	NA
PMS2	2,4,7	NA	NA	NA
POLD1	2,4,6,7	NA	NA	NA
POLE	1,2,4,6,7	NA	NA	NA
POT1	1,2,3	NA	NA	NA
PPARG	NA	NA	NA	1
PPIH	NA	specific	1	NA
PPP2R1A	1,3,4,6,11	NA	NA	NA
PRDM1	1,3,4	NA	NA	NA
PRKAR1A	1,2,3,4	NA	NA	NA
PRKDC	3,4	NA	NA	NA
PRMT2	NA	outlier	22	NA
PROCA1	NA	other	43	NA
PRSS8	3,4	NA	NA	NA
PTCH1	1,2,3,4,6,7	NA	NA	NA
PTEN	1,2,3,4,6,7,8,10	NA	NA	NA
PTPN11	1,2,3,4,6,11	NA	NA	NA
RAB15	NA	cancer	19	NA
RAB7L1	NA	other	43	NA
RAC1	1,4,6	NA	NA	NA
RAD18	NA	outlier	5	NA
RAD21	1,3,5,11	NA	NA	NA
RAD50	3,4,7	NA	NA	NA
RAD51	3,4,7	NA	NA	NA
RAD51C	2,7	NA	NA	NA
RAD51D	2,7	NA	NA	NA
RAET1L	NA	outlier,specific	1	NA
RAF1	3,4,6	NA	NA	NA
RARA	3,4	NA	NA	NA
RB1	1,2,3,4,6,7,8,10	NA	NA	NA
RET	1,2,3,4,6,7	NA	NA	NA
RHOA	1,3,6	NA	NA	NA
RICTOR	3,4	NA	NA	NA
RNF43	1,3,4	NA	NA	NA
ROS1	3,4,6	NA	NA	NA
RP11-238K6.1	NA	outlier,specific	1	NA
RP11-384K6.6	NA	other	43	NA
RP11-451G4.2	NA	specific	1	NA
RP11-568A7.2	NA	specific	1	NA
RP11-700H6.4	NA	outlier,specific	1	NA
RP11-791G15.2	NA	ubiquitous	44	NA
RP11-95D17.1	NA	outlier	33	NA
RPAIN	NA	cancer	2	NA
RPAP1	NA	outlier	38	NA
RPL12	NA	other	43	NA
RPL5	1,11	NA	NA	NA
RPTOR	3,4	NA	NA	NA
RTEL1	NA	cancer	6	NA
RUNX1	1,2,3,4,8,11	NA	NA	NA
SCAPER	NA	outlier	37	NA
SDHA	3,4,7	NA	NA	NA
SDHB	2,3,4,7	NA	NA	NA
SDHC	2,3,4,7	NA	NA	NA
SDHD	2,3,4,6,7	NA	NA	NA
SEPT7	NA	specific	1	NA
SETBP1	1,3,6,11	NA	NA	NA
SETD2	1,3,4,6,10	NA	NA	NA
SF3B1	1,3,4,6,8,11	NA	NA	NA
SHPK	NA	other	43	NA
SLC25A34	NA	outlier	38	NA
SLC35A1	NA	outlier	35	NA
SLC44A4	NA	specific	1	NA
SMAD2	3,4,11	NA	NA	NA
SMAD4	1,2,3,4,6,7,11	NA	NA	NA
SMARCA4	1,2,3,4	NA	NA	NA
SMARCB1	1,2,3,4	other	43	NA
SMC3	3,11	NA	NA	NA
SMO	1,2,3,4,6	NA	NA	NA
SOCS1	1,3,4	NA	NA	NA
SOX10	3,4	NA	NA	NA
SOX2	3,4,6	NA	NA	NA
SOX9	4,11	NA	NA	NA
SPATA20	NA	outlier	40	NA
SPEN	1,3,4	NA	NA	NA
SPOP	1,3,4,6,11	NA	NA	NA
SRC	1,2,3,4,6	NA	NA	NA
SRSF2	1,3,6	NA	NA	NA
STAM2	NA	outlier,specific	1	NA
STAT3	1,3,4	NA	NA	NA
STAT4	3,4	NA	NA	NA
STAT5B	1,3	NA	NA	NA
STK11	1,2,3,4,6,7,11	NA	NA	NA
STPG2	NA	specific	1	NA
SUFU	1,2,3,4	NA	NA	NA
TBL1XR1	1,3,8,11	NA	NA	NA
TBX3	4,8,11	NA	NA	NA
TCEB3	NA	specific	1	NA
TCF7L1	NA	specific	1	NA
TCF7L2	NA	NA	NA	1
TCP10L	NA	ubiquitous	44	NA
TERC	NA	NA	NA	1
TERT	1,4,6	NA	NA	1
TET2	1,3,4,11	NA	NA	NA
TGFBR2	3,4,11	NA	NA	NA
TIMM21	NA	ubiquitous	44	NA
TLR4	9,11	NA	NA	NA
TNFAIP3	1,3,4	NA	NA	NA
TNFRSF14	1,3,4	NA	NA	NA
TNFRSF6B	NA	cancer,specific	1	NA
TOP1	3,4	NA	NA	NA
TP53	1,2,3,4,5,6,7,8,10	NA	NA	NA
TP63	3,6	NA	NA	NA
TPSD1	NA	outlier	34	NA
TSC1	1,2,3,4,6,7	NA	NA	NA
TSC2	1,2,3,4,6,7	NA	NA	NA
TSHR	1,3,4	NA	NA	NA
TUSC3	NA	cancer	6	NA
U2AF1	1,3,4,6,11	NA	NA	NA
UBR3	NA	outlier	6	NA
UBXN4	NA	outlier	8	NA
UGT2B4	NA	outlier,specific	1	NA
VEGFA	4,6	NA	NA	NA
VHL	1,2,3,4,6,7,10	NA	NA	NA
VPS53	NA	outlier,specific	1	NA
VPS8	NA	outlier	40	NA
WASL	NA	outlier	3	NA
WDR4	NA	specific	1	NA
WISP3	3,4	NA	NA	NA
WT1	1,2,3,4,11	NA	NA	NA
XPO1	1,3,4	NA	NA	NA
XRCC2	NA	cancer	34	NA
ZCWPW1	NA	outlier	13	NA
ZDHHC11	NA	outlier	25	NA
ZFAND2A	NA	outlier	27	NA
ZNF217	3,4	NA	NA	NA
ZNF577	NA	ubiquitous	44	NA
ZNF703	3,4	NA	NA	NA
ZSCAN31	NA	outlier	25	NA
